dataset,timestamp,mean,std,max,num_trials,stat_type,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Computers,2026-05-11 11:52,0.899667,0.000739,0.900624,5,mean,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.899642,0.000700,0.900564,5,mean,detach,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.899140,0.000000,0.899140,1,mean,detach,dot,0.7,0.1,5.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.899140,0.000000,0.899140,1,mean,detach,dot,0.7,0.1,5.0,topo+center,10.0,0.05,15.0,0.1,0.05,0.2
Computers,2026-05-11 11:52,0.899140,0.000000,0.899140,1,mean,detach,dot,0.7,0.1,10.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.899049,0.000000,0.899049,1,mean,detach,dot,0.7,0.1,5.0,center,10.0,0.05,15.0,0.1,0.05,0.2
Computers,2026-05-11 11:52,0.899049,0.000000,0.899049,1,mean,detach,dot,0.7,0.1,10.0,center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,2026-05-11 11:52,0.899018,0.000000,0.899018,1,mean,detach,dot,0.7,0.1,5.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.898958,0.000000,0.898958,1,mean,detach,dot,0.7,0.1,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Computers,2026-05-11 11:52,0.898958,0.000000,0.898958,1,mean,detach,dot,0.7,0.1,5.0,center,5.0,0.05,15.0,0.1,0.05,0.2
Computers,2026-05-11 11:52,0.898927,0.000000,0.898927,1,mean,detach,dot,0.7,0.1,20.0,center,5.0,0.05,15.0,0.1,0.02,0.2
