dataset,mean,std,max,num_trials,stat_type,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
CS,0.942751,0.000000,0.942751,1,mean,detach,dot,0.3,0.3,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
CS,0.942751,0.000000,0.942751,1,mean,detach,dot,0.3,0.3,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
CS,0.942592,0.000000,0.942592,1,mean,detach,dot,0.3,0.2,5.0,center,10.0,0.05,25.0,0.1,0.02,0.2
Computers,0.899667,0.000739,0.900624,5,mean,homo,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.899642,0.000700,0.900564,5,mean,detach,dot,0.7,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Computers,0.899140,0.000000,0.899140,1,mean,detach,dot,0.7,0.1,5.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.938099,0.001548,0.939434,6,mean,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.937082,0.001179,0.937854,6,mean,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936329,0.000000,0.936329,1,mean,homo,cos,0.3,0.2,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Physics,0.962148,0.000245,0.962433,5,mean,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.962032,0.000210,0.962372,5,mean,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Physics,0.960524,0.000000,0.960524,1,mean,homo,cos,0.3,0.1,5.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
