epoch=0000, count=198, avg_size=92.6, min=1, max=624
epoch=0100, count=238, avg_size=77.0, min=1, max=787
epoch=0200, count=207, avg_size=88.6, min=1, max=812
epoch=0300, count=230, avg_size=79.7, min=1, max=564
epoch=0400, count=207, avg_size=88.6, min=1, max=547
epoch=0500, count=206, avg_size=89.0, min=1, max=768
epoch=0600, count=241, avg_size=76.1, min=1, max=704
epoch=0000, count=200, avg_size=91.7, min=1, max=514
epoch=0100, count=235, avg_size=78.0, min=1, max=593
epoch=0200, count=222, avg_size=82.6, min=1, max=598
epoch=0300, count=232, avg_size=79.0, min=1, max=858
epoch=0400, count=232, avg_size=79.0, min=1, max=844
epoch=0500, count=232, avg_size=79.0, min=1, max=851
epoch=0600, count=221, avg_size=83.0, min=1, max=556
epoch=0000, count=215, avg_size=85.3, min=1, max=627
epoch=0100, count=239, avg_size=76.7, min=1, max=695
epoch=0200, count=249, avg_size=73.6, min=1, max=558
epoch=0300, count=235, avg_size=78.0, min=1, max=820
epoch=0400, count=214, avg_size=85.7, min=1, max=814
epoch=0500, count=213, avg_size=86.1, min=1, max=812
epoch=0600, count=212, avg_size=86.5, min=1, max=747
epoch=0000, count=203, avg_size=90.3, min=1, max=637
epoch=0100, count=227, avg_size=80.8, min=1, max=655
epoch=0200, count=211, avg_size=86.9, min=1, max=805
epoch=0300, count=229, avg_size=80.1, min=1, max=821
epoch=0400, count=227, avg_size=80.8, min=1, max=559
epoch=0500, count=253, avg_size=72.5, min=1, max=801
epoch=0600, count=238, avg_size=77.0, min=1, max=732
epoch=0000, count=200, avg_size=91.7, min=1, max=646
epoch=0100, count=229, avg_size=80.1, min=1, max=665
epoch=0200, count=210, avg_size=87.3, min=1, max=525
epoch=0300, count=217, avg_size=84.5, min=1, max=749
epoch=0400, count=225, avg_size=81.5, min=1, max=694
epoch=0500, count=213, avg_size=86.1, min=1, max=704
epoch=0600, count=217, avg_size=84.5, min=1, max=606
epoch=0000, count=196, avg_size=93.5, min=1, max=642
epoch=0100, count=214, avg_size=85.7, min=1, max=666
epoch=0200, count=214, avg_size=85.7, min=1, max=564
epoch=0300, count=228, avg_size=80.4, min=1, max=809
epoch=0400, count=223, avg_size=82.2, min=1, max=573
epoch=0500, count=226, avg_size=81.1, min=1, max=560
epoch=0600, count=221, avg_size=83.0, min=1, max=752
epoch=0000, count=192, avg_size=95.5, min=1, max=624
epoch=0100, count=225, avg_size=81.5, min=1, max=809
epoch=0200, count=237, avg_size=77.4, min=1, max=863
epoch=0300, count=223, avg_size=82.2, min=1, max=877
epoch=0400, count=221, avg_size=83.0, min=1, max=525
epoch=0500, count=238, avg_size=77.0, min=1, max=582
epoch=0600, count=225, avg_size=81.5, min=1, max=542
epoch=0000, count=194, avg_size=94.5, min=1, max=642
epoch=0100, count=239, avg_size=76.7, min=1, max=794
epoch=0200, count=204, avg_size=89.9, min=1, max=733
epoch=0300, count=239, avg_size=76.7, min=1, max=835
epoch=0400, count=216, avg_size=84.9, min=1, max=805
epoch=0500, count=240, avg_size=76.4, min=1, max=590
epoch=0600, count=246, avg_size=74.5, min=1, max=747
epoch=0000, count=202, avg_size=90.8, min=1, max=663
epoch=0100, count=226, avg_size=81.1, min=1, max=572
epoch=0200, count=219, avg_size=83.7, min=1, max=791
epoch=0300, count=247, avg_size=74.2, min=1, max=704
epoch=0400, count=222, avg_size=82.6, min=1, max=806
epoch=0500, count=219, avg_size=83.7, min=1, max=764
epoch=0600, count=222, avg_size=82.6, min=1, max=707
epoch=0000, count=185, avg_size=99.1, min=1, max=638
epoch=0100, count=235, avg_size=78.0, min=1, max=800
epoch=0200, count=226, avg_size=81.1, min=1, max=561
epoch=0300, count=208, avg_size=88.1, min=1, max=854
epoch=0400, count=206, avg_size=89.0, min=1, max=818
epoch=0500, count=216, avg_size=84.9, min=1, max=813
epoch=0600, count=246, avg_size=74.5, min=1, max=548
epoch=0000, count=198, avg_size=92.6, min=1, max=639
epoch=0100, count=238, avg_size=77.0, min=1, max=725
epoch=0200, count=240, avg_size=76.4, min=1, max=570
epoch=0300, count=224, avg_size=81.8, min=1, max=566
epoch=0400, count=235, avg_size=78.0, min=1, max=789
epoch=0500, count=223, avg_size=82.2, min=1, max=729
epoch=0600, count=228, avg_size=80.4, min=1, max=685
epoch=0000, count=191, avg_size=96.0, min=1, max=659
epoch=0100, count=239, avg_size=76.7, min=1, max=653
epoch=0200, count=212, avg_size=86.5, min=1, max=774
epoch=0300, count=230, avg_size=79.7, min=1, max=817
epoch=0400, count=205, avg_size=89.4, min=1, max=580
epoch=0500, count=223, avg_size=82.2, min=1, max=734
epoch=0600, count=228, avg_size=80.4, min=1, max=805
epoch=0000, count=193, avg_size=95.0, min=1, max=639
epoch=0100, count=260, avg_size=70.5, min=1, max=551
epoch=0200, count=215, avg_size=85.3, min=1, max=778
epoch=0300, count=217, avg_size=84.5, min=1, max=811
epoch=0400, count=227, avg_size=80.8, min=1, max=775
epoch=0500, count=219, avg_size=83.7, min=1, max=541
epoch=0600, count=230, avg_size=79.7, min=1, max=744
epoch=0000, count=191, avg_size=96.0, min=1, max=592
epoch=0100, count=229, avg_size=80.1, min=1, max=667
epoch=0200, count=216, avg_size=84.9, min=1, max=788
epoch=0300, count=235, avg_size=78.0, min=1, max=534
epoch=0400, count=222, avg_size=82.6, min=1, max=565
epoch=0500, count=213, avg_size=86.1, min=1, max=810
epoch=0600, count=231, avg_size=79.4, min=1, max=779
epoch=0000, count=209, avg_size=87.7, min=1, max=639
epoch=0100, count=255, avg_size=71.9, min=1, max=636
epoch=0200, count=215, avg_size=85.3, min=1, max=834
epoch=0300, count=215, avg_size=85.3, min=1, max=836
epoch=0400, count=244, avg_size=75.1, min=1, max=841
epoch=0500, count=218, avg_size=84.1, min=1, max=827
epoch=0600, count=240, avg_size=76.4, min=1, max=750
epoch=0000, count=199, avg_size=92.1, min=1, max=620
epoch=0100, count=228, avg_size=80.4, min=1, max=683
epoch=0200, count=232, avg_size=79.0, min=1, max=556
epoch=0300, count=207, avg_size=88.6, min=1, max=804
epoch=0400, count=232, avg_size=79.0, min=1, max=560
epoch=0500, count=222, avg_size=82.6, min=1, max=900
epoch=0600, count=234, avg_size=78.3, min=1, max=860
epoch=0000, count=204, avg_size=89.9, min=1, max=593
epoch=0100, count=235, avg_size=78.0, min=1, max=645
epoch=0200, count=231, avg_size=79.4, min=1, max=766
epoch=0300, count=224, avg_size=81.8, min=1, max=548
epoch=0400, count=226, avg_size=81.1, min=1, max=572
epoch=0500, count=233, avg_size=78.7, min=1, max=704
epoch=0600, count=238, avg_size=77.0, min=1, max=671
epoch=0000, count=206, avg_size=89.0, min=1, max=657
epoch=0100, count=249, avg_size=73.6, min=1, max=630
epoch=0200, count=213, avg_size=86.1, min=1, max=781
epoch=0300, count=200, avg_size=91.7, min=1, max=783
epoch=0400, count=224, avg_size=81.8, min=1, max=760
epoch=0500, count=210, avg_size=87.3, min=1, max=602
epoch=0600, count=237, avg_size=77.4, min=1, max=712
epoch=0000, count=185, avg_size=99.1, min=1, max=665
epoch=0100, count=234, avg_size=78.3, min=1, max=827
epoch=0200, count=228, avg_size=80.4, min=1, max=894
epoch=0300, count=232, avg_size=79.0, min=1, max=748
epoch=0400, count=221, avg_size=83.0, min=1, max=935
epoch=0500, count=222, avg_size=82.6, min=1, max=896
epoch=0600, count=229, avg_size=80.1, min=1, max=856
epoch=0000, count=201, avg_size=91.2, min=1, max=630
epoch=0100, count=215, avg_size=85.3, min=1, max=780
epoch=0200, count=210, avg_size=87.3, min=1, max=776
epoch=0300, count=247, avg_size=74.2, min=1, max=796
epoch=0400, count=229, avg_size=80.1, min=1, max=800
epoch=0500, count=218, avg_size=84.1, min=1, max=793
epoch=0600, count=232, avg_size=79.0, min=1, max=703
epoch=0000, count=198, avg_size=92.6, min=1, max=624
epoch=0100, count=235, avg_size=78.0, min=1, max=766
epoch=0200, count=214, avg_size=85.7, min=1, max=567
epoch=0300, count=228, avg_size=80.4, min=1, max=814
epoch=0400, count=220, avg_size=83.3, min=1, max=787
epoch=0500, count=233, avg_size=78.7, min=1, max=764
epoch=0600, count=226, avg_size=81.1, min=1, max=524
epoch=0000, count=200, avg_size=91.7, min=1, max=514
epoch=0100, count=243, avg_size=75.4, min=1, max=559
epoch=0200, count=216, avg_size=84.9, min=1, max=845
epoch=0300, count=226, avg_size=81.1, min=1, max=887
epoch=0400, count=239, avg_size=76.7, min=1, max=785
epoch=0500, count=222, avg_size=82.6, min=1, max=865
epoch=0600, count=243, avg_size=75.4, min=1, max=734
epoch=0000, count=215, avg_size=85.3, min=1, max=627
epoch=0100, count=224, avg_size=81.8, min=1, max=700
epoch=0200, count=232, avg_size=79.0, min=1, max=804
epoch=0300, count=259, avg_size=70.8, min=1, max=566
epoch=0400, count=224, avg_size=81.8, min=1, max=816
epoch=0500, count=217, avg_size=84.5, min=1, max=562
epoch=0600, count=231, avg_size=79.4, min=1, max=770
epoch=0000, count=203, avg_size=90.3, min=1, max=637
epoch=0100, count=218, avg_size=84.1, min=1, max=651
epoch=0200, count=215, avg_size=85.3, min=1, max=540
epoch=0300, count=234, avg_size=78.3, min=1, max=549
epoch=0400, count=232, avg_size=79.0, min=1, max=600
epoch=0500, count=235, avg_size=78.0, min=1, max=813
epoch=0600, count=243, avg_size=75.4, min=1, max=750
epoch=0000, count=200, avg_size=91.7, min=1, max=646
epoch=0100, count=219, avg_size=83.7, min=1, max=661
epoch=0200, count=235, avg_size=78.0, min=1, max=576
epoch=0300, count=220, avg_size=83.3, min=1, max=579
epoch=0400, count=226, avg_size=81.1, min=1, max=773
epoch=0500, count=221, avg_size=83.0, min=1, max=698
epoch=0600, count=229, avg_size=80.1, min=1, max=668
epoch=0000, count=196, avg_size=93.5, min=1, max=642
epoch=0100, count=216, avg_size=84.9, min=1, max=665
epoch=0200, count=209, avg_size=87.7, min=1, max=564
epoch=0300, count=232, avg_size=79.0, min=1, max=579
epoch=0400, count=228, avg_size=80.4, min=1, max=794
epoch=0500, count=212, avg_size=86.5, min=1, max=785
epoch=0600, count=246, avg_size=74.5, min=1, max=535
epoch=0000, count=192, avg_size=95.5, min=1, max=624
epoch=0100, count=233, avg_size=78.7, min=1, max=543
epoch=0200, count=229, avg_size=80.1, min=1, max=862
epoch=0300, count=208, avg_size=88.1, min=1, max=874
epoch=0400, count=246, avg_size=74.5, min=1, max=873
epoch=0500, count=242, avg_size=75.8, min=1, max=831
epoch=0600, count=221, avg_size=83.0, min=1, max=788
epoch=0000, count=194, avg_size=94.5, min=1, max=642
epoch=0100, count=231, avg_size=79.4, min=1, max=578
epoch=0200, count=201, avg_size=91.2, min=1, max=733
epoch=0300, count=221, avg_size=83.0, min=1, max=851
