epoch=0000, count=460, avg_size=29.9, min=1, max=5897
epoch=0010, count=465, avg_size=29.6, min=1, max=5897
epoch=0020, count=459, avg_size=30.0, min=1, max=5897
epoch=0030, count=460, avg_size=29.9, min=1, max=5897
epoch=0040, count=462, avg_size=29.8, min=1, max=5897
epoch=0050, count=467, avg_size=29.4, min=1, max=5897
epoch=0060, count=462, avg_size=29.8, min=1, max=5897
epoch=0070, count=463, avg_size=29.7, min=1, max=5897
epoch=0080, count=465, avg_size=29.6, min=1, max=5897
epoch=0090, count=468, avg_size=29.4, min=1, max=5897
epoch=0100, count=468, avg_size=29.4, min=1, max=5897
epoch=0110, count=469, avg_size=29.3, min=1, max=5897
epoch=0120, count=468, avg_size=29.4, min=1, max=5897
epoch=0130, count=467, avg_size=29.4, min=1, max=5897
epoch=0140, count=463, avg_size=29.7, min=1, max=5897
epoch=0150, count=464, avg_size=29.6, min=1, max=5897
epoch=0160, count=460, avg_size=29.9, min=1, max=5897
epoch=0170, count=460, avg_size=29.9, min=1, max=5897
epoch=0180, count=461, avg_size=29.8, min=1, max=5897
epoch=0190, count=461, avg_size=29.8, min=1, max=5897
epoch=0200, count=461, avg_size=29.8, min=1, max=5897
epoch=0210, count=461, avg_size=29.8, min=1, max=5897
epoch=0220, count=461, avg_size=29.8, min=1, max=5897
epoch=0230, count=460, avg_size=29.9, min=1, max=5897
epoch=0240, count=460, avg_size=29.9, min=1, max=5897
epoch=0250, count=460, avg_size=29.9, min=1, max=5897
epoch=0260, count=460, avg_size=29.9, min=1, max=5897
epoch=0270, count=461, avg_size=29.8, min=1, max=5897
epoch=0280, count=462, avg_size=29.8, min=1, max=5897
epoch=0290, count=462, avg_size=29.8, min=1, max=5897
epoch=0300, count=462, avg_size=29.8, min=1, max=5897
epoch=0310, count=462, avg_size=29.8, min=1, max=5897
epoch=0320, count=462, avg_size=29.8, min=1, max=5897
epoch=0330, count=458, avg_size=30.0, min=1, max=5897
epoch=0340, count=458, avg_size=30.0, min=1, max=5897
epoch=0350, count=457, avg_size=30.1, min=1, max=5897
epoch=0360, count=457, avg_size=30.1, min=1, max=5897
epoch=0370, count=457, avg_size=30.1, min=1, max=5897
epoch=0380, count=457, avg_size=30.1, min=1, max=5897
epoch=0390, count=457, avg_size=30.1, min=1, max=5897
epoch=0400, count=457, avg_size=30.1, min=1, max=5897
epoch=0410, count=457, avg_size=30.1, min=1, max=5897
epoch=0420, count=457, avg_size=30.1, min=1, max=5897
epoch=0430, count=457, avg_size=30.1, min=1, max=5897
epoch=0440, count=457, avg_size=30.1, min=1, max=5897
epoch=0450, count=459, avg_size=30.0, min=1, max=5897
epoch=0460, count=459, avg_size=30.0, min=1, max=5897
epoch=0470, count=459, avg_size=30.0, min=1, max=5897
epoch=0480, count=460, avg_size=29.9, min=1, max=5897
epoch=0490, count=460, avg_size=29.9, min=1, max=5897
epoch=0500, count=460, avg_size=29.9, min=1, max=5897
epoch=0510, count=460, avg_size=29.9, min=1, max=5897
epoch=0520, count=460, avg_size=29.9, min=1, max=5897
epoch=0530, count=460, avg_size=29.9, min=1, max=5897
epoch=0540, count=460, avg_size=29.9, min=1, max=5897
epoch=0550, count=460, avg_size=29.9, min=1, max=5897
epoch=0560, count=460, avg_size=29.9, min=1, max=5897
epoch=0570, count=460, avg_size=29.9, min=1, max=5897
epoch=0580, count=460, avg_size=29.9, min=1, max=5897
epoch=0590, count=460, avg_size=29.9, min=1, max=5897
epoch=0600, count=460, avg_size=29.9, min=1, max=5897
epoch=0610, count=460, avg_size=29.9, min=1, max=5897
epoch=0620, count=460, avg_size=29.9, min=1, max=5897
epoch=0630, count=460, avg_size=29.9, min=1, max=5897
epoch=0640, count=460, avg_size=29.9, min=1, max=5897
epoch=0650, count=460, avg_size=29.9, min=1, max=5897
epoch=0660, count=460, avg_size=29.9, min=1, max=5897
epoch=0670, count=460, avg_size=29.9, min=1, max=5897
epoch=0680, count=460, avg_size=29.9, min=1, max=5897
epoch=0690, count=460, avg_size=29.9, min=1, max=5897
epoch=0000, count=463, avg_size=29.7, min=1, max=5897
epoch=0010, count=462, avg_size=29.8, min=1, max=5897
epoch=0020, count=460, avg_size=29.9, min=1, max=5897
epoch=0030, count=460, avg_size=29.9, min=1, max=5897
epoch=0040, count=460, avg_size=29.9, min=1, max=5897
epoch=0050, count=459, avg_size=30.0, min=1, max=5897
epoch=0060, count=464, avg_size=29.6, min=1, max=5897
epoch=0070, count=465, avg_size=29.6, min=1, max=5897
epoch=0080, count=459, avg_size=30.0, min=1, max=5897
