epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0100, count=237, avg_size=32.3, min=1, max=2740
epoch=0200, count=240, avg_size=31.9, min=1, max=2740
epoch=0300, count=239, avg_size=32.0, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0100, count=237, avg_size=32.3, min=1, max=2740
epoch=0200, count=240, avg_size=31.9, min=1, max=2740
epoch=0300, count=239, avg_size=32.0, min=1, max=2740
epoch=0400, count=240, avg_size=31.9, min=1, max=2740
epoch=0500, count=238, avg_size=32.1, min=1, max=2740
epoch=0600, count=237, avg_size=32.3, min=1, max=2740
epoch=0000, count=273, avg_size=28.0, min=1, max=1330
epoch=0000, count=240, avg_size=31.9, min=1, max=1330
epoch=0100, count=229, avg_size=33.4, min=1, max=1316
epoch=0200, count=231, avg_size=33.1, min=1, max=1306
epoch=0300, count=226, avg_size=33.8, min=1, max=1303
epoch=0400, count=226, avg_size=33.8, min=1, max=1294
epoch=0500, count=226, avg_size=33.8, min=1, max=1274
epoch=0600, count=225, avg_size=34.0, min=1, max=1270
epoch=0000, count=273, avg_size=28.0, min=1, max=1330
epoch=0100, count=302, avg_size=25.3, min=1, max=942
epoch=0200, count=293, avg_size=26.1, min=1, max=1303
epoch=0300, count=273, avg_size=28.0, min=1, max=1306
epoch=0400, count=272, avg_size=28.1, min=1, max=1296
epoch=0500, count=261, avg_size=29.3, min=1, max=934
epoch=0600, count=272, avg_size=28.1, min=1, max=927
epoch=0000, count=226, avg_size=33.8, min=1, max=2740
epoch=0000, count=226, avg_size=33.8, min=1, max=2740
epoch=0050, count=225, avg_size=34.0, min=1, max=2740
epoch=0050, count=225, avg_size=34.0, min=1, max=2740
epoch=0100, count=225, avg_size=34.0, min=1, max=2740
epoch=0100, count=225, avg_size=34.0, min=1, max=2740
epoch=0000, count=240, avg_size=31.9, min=1, max=1330
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0050, count=234, avg_size=32.7, min=1, max=1310
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=228, avg_size=33.6, min=1, max=1314
epoch=0100, count=238, avg_size=32.1, min=1, max=2740
epoch=0000, count=273, avg_size=28.0, min=1, max=1330
epoch=0000, count=273, avg_size=28.0, min=1, max=1330
epoch=0050, count=283, avg_size=27.0, min=1, max=1309
epoch=0050, count=279, avg_size=27.4, min=1, max=1310
epoch=0100, count=290, avg_size=26.4, min=1, max=501
epoch=0100, count=292, avg_size=26.2, min=1, max=501
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0200, count=238, avg_size=32.1, min=1, max=2740
epoch=0300, count=242, avg_size=31.6, min=1, max=2740
epoch=0400, count=240, avg_size=31.9, min=1, max=2740
epoch=0500, count=240, avg_size=31.9, min=1, max=2740
epoch=0000, count=240, avg_size=31.9, min=1, max=1330
epoch=0600, count=240, avg_size=31.9, min=1, max=2740
epoch=0100, count=233, avg_size=32.8, min=1, max=1319
epoch=0200, count=230, avg_size=33.3, min=1, max=1275
epoch=0300, count=229, avg_size=33.4, min=1, max=1208
epoch=0400, count=227, avg_size=33.7, min=1, max=1158
epoch=0500, count=227, avg_size=33.7, min=1, max=1153
epoch=0600, count=230, avg_size=33.3, min=1, max=1133
epoch=0000, count=241, avg_size=31.7, min=1, max=2740
epoch=0100, count=240, avg_size=31.9, min=1, max=2740
epoch=0200, count=242, avg_size=31.6, min=1, max=2740
epoch=0300, count=242, avg_size=31.6, min=1, max=2740
epoch=0400, count=241, avg_size=31.7, min=1, max=2740
epoch=0500, count=238, avg_size=32.1, min=1, max=2740
epoch=0000, count=245, avg_size=31.2, min=1, max=1298
epoch=0600, count=240, avg_size=31.9, min=1, max=2740
epoch=0100, count=230, avg_size=33.3, min=1, max=1289
epoch=0200, count=234, avg_size=32.7, min=1, max=1277
epoch=0300, count=229, avg_size=33.4, min=1, max=1154
epoch=0400, count=228, avg_size=33.6, min=1, max=1082
epoch=0500, count=230, avg_size=33.3, min=1, max=1071
epoch=0600, count=226, avg_size=33.8, min=1, max=1076
epoch=0000, count=244, avg_size=31.4, min=1, max=2740
epoch=0100, count=241, avg_size=31.7, min=1, max=2740
epoch=0200, count=243, avg_size=31.5, min=1, max=2740
epoch=0300, count=237, avg_size=32.3, min=1, max=2740
epoch=0400, count=237, avg_size=32.3, min=1, max=2740
epoch=0500, count=238, avg_size=32.1, min=1, max=2740
epoch=0600, count=243, avg_size=31.5, min=1, max=2740
epoch=0000, count=241, avg_size=31.7, min=1, max=1339
epoch=0100, count=232, avg_size=33.0, min=1, max=1336
epoch=0200, count=229, avg_size=33.4, min=1, max=1292
epoch=0300, count=227, avg_size=33.7, min=1, max=1229
epoch=0400, count=226, avg_size=33.8, min=1, max=1182
epoch=0500, count=226, avg_size=33.8, min=1, max=1160
epoch=0600, count=226, avg_size=33.8, min=1, max=1157
epoch=0000, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=240, avg_size=31.9, min=1, max=2740
epoch=0200, count=240, avg_size=31.9, min=1, max=2740
epoch=0300, count=244, avg_size=31.4, min=1, max=2740
epoch=0400, count=240, avg_size=31.9, min=1, max=2740
epoch=0500, count=236, avg_size=32.4, min=1, max=2740
epoch=0600, count=240, avg_size=31.9, min=1, max=2740
epoch=0000, count=241, avg_size=31.7, min=1, max=1347
epoch=0100, count=230, avg_size=33.3, min=1, max=1312
epoch=0200, count=229, avg_size=33.4, min=1, max=1301
epoch=0300, count=230, avg_size=33.3, min=1, max=1219
epoch=0400, count=225, avg_size=34.0, min=1, max=1141
epoch=0500, count=226, avg_size=33.8, min=1, max=1122
epoch=0600, count=227, avg_size=33.7, min=1, max=1112
epoch=0000, count=240, avg_size=31.9, min=1, max=2740
epoch=0100, count=241, avg_size=31.7, min=1, max=2740
epoch=0200, count=244, avg_size=31.4, min=1, max=2740
epoch=0300, count=242, avg_size=31.6, min=1, max=2740
epoch=0400, count=241, avg_size=31.7, min=1, max=2740
epoch=0500, count=242, avg_size=31.6, min=1, max=2740
epoch=0600, count=241, avg_size=31.7, min=1, max=2740
epoch=0000, count=244, avg_size=31.4, min=1, max=1340
epoch=0100, count=231, avg_size=33.1, min=1, max=1262
epoch=0200, count=231, avg_size=33.1, min=1, max=1296
epoch=0300, count=232, avg_size=33.0, min=1, max=1233
epoch=0400, count=231, avg_size=33.1, min=1, max=1167
epoch=0500, count=225, avg_size=34.0, min=1, max=1146
epoch=0600, count=225, avg_size=34.0, min=1, max=1143
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0100, count=239, avg_size=32.0, min=1, max=2740
epoch=0050, count=239, avg_size=32.0, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
epoch=0000, count=236, avg_size=32.4, min=1, max=2740
