timestamp,phase,dataset,tag,results_dir,log_file,status,note
2026-06-28 09:22:31,phase0,CS,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/CS_sgrl_700x5.log,FAIL,
2026-06-28 09:34:38,phase0,CS,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/CS_sgrl_700x5.log,FAIL,
2026-06-28 11:04:01,phase0,CS,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/CS_sgrl_700x5.log,OK,
2026-06-28 11:20:19,phase0,Photo,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/Photo_sgrl_700x5.log,OK,
2026-06-28 12:40:33,phase0,Physics,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/Physics_sgrl_700x5.log,OK,
2026-06-28 13:20:37,phase0,Computers,sgrl_700x5,/home/ubuntu/workplace/tc2/GBGCL-main/results/phase0_sgrl,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase0/Computers_sgrl_700x5.log,OK,
2026-06-28 15:00:31,phase1,Photo,incremental_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase1/Photo_incremental_50x3.log,OK,
2026-06-28 15:09:20,phase1,Photo,no_incremental_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase1/Photo_no_incremental_50x3.log,OK,
2026-06-28 15:53:37,phase1,Computers,incremental_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase1/Computers_incremental_50x3.log,OK,
2026-06-28 16:15:03,phase1,Computers,no_incremental_50x3,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase1/Computers_no_incremental_50x3.log,OK,
2026-06-29 02:16:54,phase3a,ALL,sweep_stage_a,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase3a/sweep_stage_a.log,OK,
2026-06-29 14:54:20,phase4,ALL,analyze,/home/ubuntu/workplace/tc2/GBGCL-main/results,/home/ubuntu/workplace/tc2/GBGCL-main/logs/phases/phase4/analyze.log,OK,
