trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.884534299,-0.999052525,0.937309368,1.64E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
1,Photo,-0.896244884,-0.999047279,0.939433551,7.54E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
2,Photo,-0.887403071,-0.99893558,0.937527233,5.15E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
2,Photo,-0.896392286,-0.998936832,0.938888889,3.49E-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
3,Photo,-0.892804682,-0.99876821,0.937527233,4.08E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
3,Photo,-0.901713908,-0.99876976,0.937472767,7.36E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
4,Photo,-0.886701643,-0.998719096,0.937854031,4.85E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
4,Photo,-0.897171378,-0.998726368,0.938888889,5.46E-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
5,Photo,-0.884631038,-0.998749018,0.937799564,2.16E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
5,Photo,-0.896499693,-0.998739183,0.938997821,2.91E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
1,Photo,-0.8421703577041626,-0.9998676180839539,0.9348583877995642,2.159663187472989e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8422268033027649,-0.9998669624328613,0.9348583877995642,2.1418637655982114e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8421508073806763,-0.9998674988746643,0.9349128540305012,2.035067234349547e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8421640992164612,-0.9998675584793091,0.9346949891067539,2.533451046843314e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8421594500541687,-0.9998675584793091,0.9348039215686276,2.2961254218462818e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.842195451259613,-0.9998668432235718,0.9348583877995642,2.1418637655982114e-06,150,1024,1,detach,dot,0.3,0.1,5,topo,20,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.839195191860199,-0.9998940825462341,0.9353485838779957,2.035067234349547e-06,150,1024,1,detach,dot,0.3,0.1,5,center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8361313343048096,-0.999884307384491,0.935838779956427,3.0318348593370804e-06,150,1024,1,detach,dot,0.3,0.1,5,center,10,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.839207649230957,-0.9998936653137207,0.9354030501089324,1.7858753281026636e-06,150,1024,1,detach,dot,0.3,0.1,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Photo,-0.8361128568649292,-0.9998846054077148,0.9357843137254903,3.114898828086042e-06,150,1024,1,detach,dot,0.3,0.1,5,center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8326320648193359,-0.9998773336410522,0.9349128540305012,1.465485734356671e-06,150,1024,1,detach,dot,0.3,0.1,5,center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.8330824971199036,-0.9998763799667358,0.9348039215686276,1.6197473906047418e-06,150,1024,1,detach,dot,0.3,0.1,5,center,20,50,0.05,25.0,0.1,0.02,0.2,66666
