trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Physics,-0.890516758,-0.999263465,0.961949629,5.70E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
1,Physics,-0.887215912,-0.999330461,0.962287854,1.13E-06,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
2,Physics,-0.88797611,-0.999163687,0.9621429,6.10E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
2,Physics,-0.888553381,-0.999099433,0.962203298,2.64E-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
3,Physics,-0.887320578,-0.999264598,0.962432808,1.98E-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
3,Physics,-0.887413144,-0.99935019,0.96237241,2.72E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
4,Physics,-0.887541771,-0.999140561,0.962106662,1.90E-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
4,Physics,-0.886458158,-0.999385953,0.961937549,7.21E-08,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
5,Physics,-0.890919149,-0.999145985,0.961708039,6.18E-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
5,Physics,-0.889053464,-0.999140084,0.961756357,6.88E-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,100,0.05,15,0.1,0.02,0.2,66666
1,Physics,-0.175462007522583,-0.9707100987434387,0.9605242495621188,7.033050437999798e-08,150,1024,1,homo,cos,0.3,0.1,5,topo+center,5,50,0.05,15.0,0.1,0.02,0.2,66666
1,Physics,-0.17546206712722778,-0.9707100987434387,0.9605242495621188,5.7198252524819114e-08,150,1024,1,homo,cos,0.3,0.1,5,topo,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Physics,-0.17543935775756836,-0.9707104563713074,0.9605242495621188,5.80737359818305e-08,150,1024,1,homo,cos,0.3,0.1,5,center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Physics,-0.17546163499355316,-0.9707100987434387,0.9605242495621188,7.033050437999798e-08,150,1024,1,homo,cos,0.3,0.1,5,topo+center,20,50,0.05,15.0,0.1,0.02,0.2,66666
1,Physics,-0.17545802891254425,-0.9707117676734924,0.960355136800145,3.5019338280455517e-09,150,1024,1,homo,cos,0.3,0.1,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
1,Physics,-0.1754375845193863,-0.9707121253013611,0.9603430573171469,3.793761647049348e-09,150,1024,1,homo,cos,0.3,0.1,10,center,5,50,0.05,15.0,0.1,0.02,0.2,66666
