dataset,mean,std,num_trials,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp
Photo,0.938099,0.001548,6,homo,cos,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.937082,0.001179,6,detach,dot,0.3,0.2,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936329,0.000000,1,homo,cos,0.3,0.2,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936329,0.000000,1,homo,cos,0.3,0.2,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.936220,0.000000,1,homo,cos,0.3,0.1,5.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936166,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936166,0.000000,1,homo,cos,0.3,0.1,10.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.936111,0.000000,1,homo,cos,0.3,0.1,5.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.936111,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.936057,0.000000,1,homo,cos,0.3,0.1,10.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936002,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.936002,0.000000,1,homo,cos,0.3,0.1,5.0,topo+center,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.936002,0.000000,1,homo,cos,0.3,0.1,20.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935948,0.000000,1,homo,cos,0.3,0.1,10.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935948,0.000000,1,homo,cos,0.3,0.1,10.0,center,20.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935948,0.000000,1,homo,cos,0.3,0.1,20.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935948,0.000000,1,homo,cos,0.3,0.2,5.0,topo+center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935893,0.000000,1,homo,cos,0.3,0.1,10.0,topo+center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935893,0.000000,1,homo,cos,0.3,0.1,10.0,topo+center,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935893,0.000000,1,homo,cos,0.3,0.2,5.0,topo+center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935893,0.000000,1,homo,cos,0.3,0.2,10.0,topo,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935893,0.000000,1,homo,cos,0.3,0.2,10.0,topo,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935839,0.000000,1,detach,dot,0.3,0.1,5.0,center,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935839,0.000000,1,homo,cos,0.3,0.1,10.0,topo+center,20.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935839,0.000000,1,homo,cos,0.3,0.2,5.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935839,0.000000,1,homo,cos,0.3,0.2,5.0,topo+center,20.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935839,0.000000,1,homo,cos,0.3,0.3,20.0,center,5.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935784,0.000000,1,detach,dot,0.3,0.1,5.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935784,0.000000,1,homo,cos,0.3,0.1,20.0,topo,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935784,0.000000,1,homo,cos,0.3,0.2,10.0,topo,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935784,0.000000,1,homo,cos,0.3,0.3,20.0,center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,detach,dot,0.3,0.1,20.0,center,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,5.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,5.0,center,10.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,5.0,center,20.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,5.0,center,20.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,10.0,topo+center,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935730,0.000000,1,homo,cos,0.3,0.1,10.0,topo+center,20.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935675,0.000000,1,detach,dot,0.3,0.1,20.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935675,0.000000,1,detach,dot,0.3,0.2,10.0,center,10.0,0.05,15.0,0.1,0.02,0.2
Photo,0.935675,0.000000,1,homo,cos,0.3,0.1,5.0,topo,5.0,0.05,25.0,0.1,0.02,0.2
Photo,0.935675,0.000000,1,homo,cos,0.3,0.1,5.0,topo,10.0,0.05,15.0,0.1,0.02,0.2
