trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,num_hop,use_gb,gb_quity,gb_sim,gb_alpha,log_every,imp_thresh,gb_rebuild_every
1,Computers,-0.995729386806488,-0.9992116093635559,0.8745076652729806,6.8423234101065336e-06,700,1024,1,1,detach,dot,0.3,100,0.1,10
2,Computers,-0.996578574180603,-0.9992847442626953,0.8728413015815306,1.194606880320968e-05,700,1024,1,1,detach,dot,0.3,100,0.1,10
1,Computers,-0.8935315608978271,-0.9992101788520813,0.9011694843361813,2.788701169828738e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
2,Computers,-0.8906150460243225,-0.9992912411689758,0.8994122280797431,5.52599770979933e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
3,Computers,-0.8904675841331482,-0.9992331266403198,0.9000181785129976,1.0409437546364656e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
4,Computers,-0.8930420279502869,-0.9990285634994507,0.9001393685996485,2.9208845037508317e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
5,Computers,-0.8906809687614441,-0.9990182518959045,0.8984730049081985,1.1455888939915314e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
6,Computers,-0.8927469849586487,-0.998822033405304,0.8998060958613586,1.2465622740708249e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
7,Computers,-0.8895124197006226,-0.9993342161178589,0.8993819305580804,2.8419416793252026e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
8,Computers,-0.8922760486602783,-0.998802900314331,0.9004120462946131,2.1167692223914408e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
9,Computers,-0.8939589858055115,-0.9986259341239929,0.8991395503847786,2.5518726965515875e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
10,Computers,-0.8919223546981812,-0.9989529252052307,0.9004726413379386,1.1566041718185192e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
11,Computers,-0.8906610608100891,-0.9990485310554504,0.8987456826031629,9.307909763680671e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
12,Computers,-0.8923129439353943,-0.999026358127594,0.9017754347694359,2.017631721949889e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
13,Computers,-0.8928373456001282,-0.998898446559906,0.9012906744228322,2.0488416757925995e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
14,Computers,-0.8904628157615662,-0.9990636110305786,0.9007453190329032,1.0464513935497845e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
15,Computers,-0.8913669586181641,-0.999182939529419,0.899866690904684,2.001108805209618e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
16,Computers,-0.8934026956558228,-0.9986706376075745,0.8997455008180331,5.309363912537635e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
17,Computers,-0.8923481702804565,-0.9993574619293213,0.9002302611646367,6.412727574859747e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
18,Computers,-0.8910716772079468,-0.998892605304718,0.8978973519966066,1.0813331066682922e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
19,Computers,-0.8903334140777588,-0.9993478059768677,0.9004120462946131,3.7470303407640794e-06,700,1024,1,1,detach,dot,0.7,100,0.5,70
20,Computers,-0.8905324935913086,-0.9988282322883606,0.9002908562079622,4.4611875198707396e-07,700,1024,1,1,detach,dot,0.7,100,0.5,70
1,Computers,-0.6776720285415649,-0.9992181658744812,0.8991092528631158,1.834043758169196e-06,150,1024,1,1,homo,cos,0.7,50,1.0,50
1,Computers,-0.6630071401596069,-0.9992216229438782,0.8984730049081985,2.5169909834332254e-06,150,1024,1,1,homo,dot,0.3,50,1.0,50
1,Computers,-0.6769357919692993,-0.9992266893386841,0.8991395503847786,1.4007761636465894e-06,150,1024,1,1,homo,dot,0.7,50,1.0,50
1,Computers,-0.6700899004936218,-0.9992178678512573,0.8989880627764649,1.7697879708458784e-06,150,1024,1,1,homo,cos,0.3,50,1.0,50
1,Computers,-0.6699049472808838,-0.9992168545722961,0.899078955341453,1.5274518586554646e-06,150,1024,1,1,detach,cos,0.3,50,1.0,50
1,Computers,-0.6776507496833801,-0.9992178082466125,0.8988062776464885,1.7642803319324587e-06,150,1024,1,1,detach,cos,0.7,50,1.0,50
1,Computers,-0.811856210231781,-0.9992218613624573,0.8995940132097194,3.201774088335425e-06,300,1024,1,detach,dot,0.6,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.811771035194397,-0.9992941617965698,0.8970187238683875,1.9992729255717265e-06,300,1024,1,detach,dot,0.6,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Computers,-0.891502320766449,-0.9991869330406189,0.9003817487729503,4.070145157017878e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
1,Computers,-0.8919954299926758,-0.9991863965988159,0.9001090710779858,3.343136820446395e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.8897027373313904,-0.9992853999137878,0.8992607404714295,3.157712977028003e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.8895941972732544,-0.9992853999137878,0.8992607404714295,3.3229421444306e-07,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Computers,-0.8881931900978088,-0.9992269277572632,0.8994425256014059,5.525997709799263e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
3,Computers,-0.8878202438354492,-0.9992265701293945,0.8997455008180331,2.698743067576298e-07,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Computers,-0.8938963413238525,-0.9990122318267822,0.9006241289462523,1.8854483880276677e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
4,Computers,-0.893621027469635,-0.9990124106407166,0.9005635339029268,1.8009979246885555e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Computers,-0.8869072794914246,-0.9990532398223877,0.8986244925165122,1.7202192206250948e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
5,Computers,-0.8869689106941223,-0.9990552663803101,0.8985335999515239,2.5133192241577218e-06,700,1024,1,detach,dot,0.7,0.2,10,topo+center,10,100,0.05,15.0,0.1,0.02,0.2,66666
