trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,num_hop,use_gb,gb_quity,gb_sim,gb_alpha,log_every,imp_thresh,gb_rebuild_every
1,CS,-0.9778382778167725,-0.9999656677246094,0.9422513124701711,1.0412749828306865e-06,700,1024,1,1,detach,dot,0.3,100,0.5,100
2,CS,-0.982259213924408,-0.9998905658721924,0.9410467943910366,1.3955977200438693e-06,700,1024,1,1,detach,dot,0.3,100,0.5,100
3,CS,-0.9796571731567383,-0.9999417066574097,0.9410695211472467,1.054704124474427e-06,700,1024,1,1,detach,dot,0.3,100,0.5,100
4,CS,-0.9806393384933472,-0.9999154210090637,0.9412967887093475,9.607001329689396e-08,700,1024,1,1,detach,dot,0.3,100,0.5,100
5,CS,-0.9791208505630493,-0.9999471306800842,0.9410922479034567,9.514030349078453e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
6,CS,-0.9817811846733093,-0.9999120235443115,0.9411831549282971,3.605208025872001e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
7,CS,-0.9779642224311829,-0.9999599456787109,0.9404331719733642,6.394337444168869e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
8,CS,-0.9783666729927063,-0.9999573826789856,0.9419104111270199,3.470916609436227e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
9,CS,-0.9782575964927673,-0.9999570846557617,0.9417513238335492,5.402646984330508e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
10,CS,-0.9791966080665588,-0.9999471306800842,0.9420013181518602,7.478998884618106e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
11,CS,-0.9773913621902466,-0.9999645352363586,0.9412740619531373,1.3739044912348494e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
12,CS,-0.9820944666862488,-0.9999078512191772,0.9405013522419945,4.906801754410813e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
13,CS,-0.9803479313850403,-0.9999391436576843,0.9413649689779778,2.689960372312778e-06,700,1024,1,1,detach,dot,0.3,100,0.5,100
14,CS,-0.9820713996887207,-0.9999130368232727,0.9416376900524988,3.192003667605923e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
15,CS,-0.9816959500312805,-0.9999127388000488,0.9413876957341879,1.2437451183810977e-06,700,1024,1,1,detach,dot,0.3,100,0.5,100
16,CS,-0.9829832315444946,-0.999876856803894,0.9404558987295744,2.892430507863018e-08,700,1024,1,1,detach,dot,0.3,100,0.5,100
17,CS,-0.9813898801803589,-0.9999193549156189,0.940092270630213,1.9627207017635177e-08,700,1024,1,1,detach,dot,0.3,100,0.5,100
18,CS,-0.9794723987579346,-0.9999366402626038,0.9421376786891207,4.627888812581501e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
19,CS,-0.98238605260849,-0.9998995661735535,0.9416604168087089,2.1796529898542702e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
20,CS,-0.9770312309265137,-0.9999673962593079,0.9412286084407172,8.305407601150229e-07,700,1024,1,1,detach,dot,0.3,100,0.5,100
