trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Computers,-0.0835675448179245,-0.9967024922370911,0.8945040295703812,9.711803283999187e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.1313895434141159,-0.996941089630127,0.8952311700902866,7.12321299469124e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Computers,-0.10067036002874374,-0.9967145919799805,0.8950190874386476,7.159930587448585e-08,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Computers,-0.0835675373673439,-0.9967024922370911,0.8945040295703812,9.711803283999187e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
2,Computers,-0.1313895434141159,-0.996941089630127,0.8952614676119494,6.627525492483381e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
3,Computers,-0.10067036002874374,-0.9967145919799805,0.895079682481973,5.6912268772030496e-08,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
1,Computers,-0.0835675373673439,-0.9967024922370911,0.8945646246137066,8.096229202729164e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
2,Computers,-0.1313895434141159,-0.996941089630127,0.8951705750469611,9.161039392656812e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
3,Computers,-0.10067036002874374,-0.9967145919799805,0.895079682481973,6.792754659887032e-08,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
1,Computers,-0.0835675373673439,-0.9967024326324463,0.8945040295703812,9.711803283999187e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
2,Computers,-0.1313895434141159,-0.996941089630127,0.8952311700902866,7.508747718630702e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
3,Computers,-0.10067036002874374,-0.9967145919799805,0.8950493849603104,5.140462985860832e-08,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
1,Computers,-0.0835675373673439,-0.9967024922370911,0.8945646246137066,8.096229202729164e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
2,Computers,-0.1313895434141159,-0.996941089630127,0.8951705750469611,8.830581057851864e-07,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
3,Computers,-0.10067036002874374,-0.9967145323753357,0.8951402775252983,8.995810225255447e-08,50,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
