trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.09669724106788635,-0.9966326355934143,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.1449517458677292,-0.9947492480278015,0.9354575163398694,3.73787859370325e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961273074150085,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.09669724106788635,-0.9966327548027039,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.1449517458677292,-0.9947500228881836,0.9354030501089324,3.0852331249614125e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961273074150085,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Photo,-0.09669724106788635,-0.9966329336166382,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
2,Photo,-0.1449517458677292,-0.9947500228881836,0.9353485838779957,2.907238906213639e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961272478103638,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.1,15.0,0.1,0.02,0.2,66666
1,Photo,-0.09669724106788635,-0.996632993221283,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
2,Photo,-0.1449517458677292,-0.9947500228881836,0.9353485838779957,2.907238906213639e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961273074150085,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.2,15.0,0.1,0.02,0.2,66666
1,Photo,-0.09669724106788635,-0.9966328740119934,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
2,Photo,-0.1449517458677292,-0.994749903678894,0.9352941176470587,3.73787859370325e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961273074150085,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.5,15.0,0.1,0.02,0.2,66666
1,Photo,-0.09669724106788635,-0.9966326951980591,0.9354575163398694,1.406154328107413e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
2,Photo,-0.14495176076889038,-0.9947497844696045,0.9354030501089324,3.0852331249614125e-07,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
3,Photo,-0.09722629934549332,-0.9961272478103638,0.9359477124183005,2.563116749967943e-06,50,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,1.0,15.0,0.1,0.02,0.2,66666
