trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,CS,-0.8790751099586487,-0.9995042085647583,0.9387286652576078,1.1786654319541577e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
2,CS,-0.8777085542678833,-0.9995039701461792,0.9378423217654145,2.3655949510734972e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
3,CS,-0.8787314295768738,-0.9995645880699158,0.939569555237381,1.2902306086860272e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
4,CS,-0.8737683296203613,-0.9995878338813782,0.9370014317856411,1.2365140421114654e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
5,CS,-0.8781760334968567,-0.9994283318519592,0.938524124451717,4.15373681147053e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
6,CS,-0.8750712871551514,-0.9995405077934265,0.9396831890184313,1.0609021898482811e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
7,CS,-0.8799927830696106,-0.9995598196983337,0.9370241585418513,1.4265880469139291e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
8,CS,-0.8792653679847717,-0.9995282888412476,0.9384786709392968,1.3770035239219885e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
9,CS,-0.8740851879119873,-0.9995575547218323,0.9380923160837252,3.346955301955778e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
10,CS,-0.8787100911140442,-0.9994407892227173,0.9377741414967842,6.490407457465372e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
11,CS,-0.8762792944908142,-0.999409019947052,0.9396831890184315,1.0856944513443508e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
12,CS,-0.877548336982727,-0.9995750188827515,0.940637712779255,2.5825272391642497e-08,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
13,CS,-0.8767160773277283,-0.9995277523994446,0.9397059157746415,1.5009648314017714e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
14,CS,-0.8803061246871948,-0.9994016885757446,0.938546851207927,3.4874447837662673e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
15,CS,-0.8758504390716553,-0.9994490742683411,0.9394559214563305,8.872530582869752e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
16,CS,-0.8786910772323608,-0.9995076060295105,0.93934228767528,1.1538731704581721e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
17,CS,-0.8820540904998779,-0.9995440244674683,0.9376832344719438,2.8666052354713334e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
18,CS,-0.8779973387718201,-0.9995008707046509,0.9368650712483807,6.297234419976056e-06,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
19,CS,-0.8722638487815857,-0.9995062947273254,0.9356605531692462,6.456318097908941e-07,700,1024,1,detach,dot,0.3,0.3,5,center,5,50,0.05,25.0,0.1,0.02,0.2,66666
