trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Computers,-0.8918774127960205,-0.9992080330848694,0.8992001454281039,3.3100909869658687e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Computers,-0.8883358836174011,-0.9992974996566772,0.897745864388293,8.646993094070954e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Computers,-0.8880123496055603,-0.9992483258247375,0.8968066412167485,1.874433110200821e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
4,Computers,-0.8929559588432312,-0.9990395307540894,0.898079137126583,1.2851157464648493e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
5,Computers,-0.8876387476921082,-0.9990770220756531,0.8975943767799794,1.5274518586553753e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
6,Computers,-0.8907471895217896,-0.9988364577293396,0.898624492516512,1.24105463515749e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
7,Computers,-0.8877150416374207,-0.9993440508842468,0.8980185420832575,1.9221659807838005e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
8,Computers,-0.8920197486877441,-0.9988144040107727,0.8990183602981275,3.0622472358619585e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
9,Computers,-0.8940999507904053,-0.9986603260040283,0.8980185420832575,5.507638913421263e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
10,Computers,-0.8887023329734802,-0.9989800453186035,0.8985033024298613,4.7549282619199136e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
11,Computers,-0.8895692229270935,-0.9990707635879517,0.8972005089983638,2.7978805680178438e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
12,Computers,-0.8908140659332275,-0.9990625381469727,0.8994425256014059,1.2630851908111563e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
13,Computers,-0.8913743495941162,-0.9989287257194519,0.8990183602981277,1.988257647744873e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
14,Computers,-0.8889989256858826,-0.9990711808204651,0.8995637156880566,1.9827500088311707e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
15,Computers,-0.8895336985588074,-0.999208390712738,0.8980185420832575,9.63836809848654e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
16,Computers,-0.8921731114387512,-0.9986512064933777,0.8987759801248257,2.711594225040862e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
17,Computers,-0.8887964487075806,-0.9993791580200195,0.8985941949948494,4.3088095099327525e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
18,Computers,-0.8898168206214905,-0.9989208579063416,0.8978670544749439,2.2324296395732864e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
19,Computers,-0.8903935551643372,-0.9993547797203064,0.8986547900381749,6.515536834576921e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
20,Computers,-0.8891320824623108,-0.9988581538200378,0.8991395503847786,1.9074789436813473e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
1,Computers,-0.8918798565864563,-0.9992080330848694,0.8991092528631158,3.310090986965862e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
2,Computers,-0.8883280754089355,-0.9992974996566772,0.897745864388293,8.646993094070954e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
3,Computers,-0.8880119323730469,-0.9992483258247375,0.8968369387384113,1.789982646861709e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
4,Computers,-0.8929558992385864,-0.9990395307540894,0.8981094346482458,1.3603868116149284e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
5,Computers,-0.8876389861106873,-0.9990770220756531,0.8975337817366539,1.4999136640882713e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
6,Computers,-0.8907479047775269,-0.99883633852005,0.898624492516512,1.24105463515749e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
7,Computers,-0.887718141078949,-0.9993440508842468,0.8979882445615949,1.8303719988934613e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
8,Computers,-0.8920190334320068,-0.9988144040107727,0.8991395503847784,2.865808114616633e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
9,Computers,-0.8940977454185486,-0.9986604452133179,0.8981094346482458,6.664243085239581e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
10,Computers,-0.8887037038803101,-0.9989801049232483,0.8985033024298613,4.7549282619199136e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
11,Computers,-0.8895681500434875,-0.9990706443786621,0.8972005089983638,2.7978805680178438e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
12,Computers,-0.8908144235610962,-0.9990625381469727,0.899533418166394,1.2906233853782625e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
13,Computers,-0.8914297223091125,-0.9989294409751892,0.899078955341453,2.4472275571965645e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
14,Computers,-0.8889970779418945,-0.9990711808204651,0.8995637156880568,3.1393541806498915e-07,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
15,Computers,-0.8895275592803955,-0.9992083311080933,0.8980185420832575,1.1070354215975851e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
16,Computers,-0.8921418786048889,-0.9986520409584045,0.8988062776464885,3.284388672036578e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
17,Computers,-0.8887927532196045,-0.9993791580200195,0.8985941949948494,4.3088095099327525e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
18,Computers,-0.88981693983078,-0.9989209175109863,0.8978670544749439,2.2324296395732864e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
19,Computers,-0.890395998954773,-0.9993547797203064,0.8986850875598376,6.726662992924702e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
20,Computers,-0.8891552686691284,-0.9988579750061035,0.8991395503847786,2.034154638690012e-06,700,1024,1,homo,dot,0.7,0.2,10,topo+center,10,50,0.3,15.0,0.1,0.02,0.2,66666
