trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Photo,-0.8954377174377441,-0.9990673065185547,0.9373638344226579,9.671019218629043e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Photo,-0.8944758176803589,-0.9989528059959412,0.9363289760348584,7.695283390528754e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Photo,-0.9077132940292358,-0.9988000392913818,0.9368736383442267,1.60788110935489e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
4,Photo,-0.8981600999832153,-0.9987443089485168,0.937962962962963,3.281026765583964e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
5,Photo,-0.9000009894371033,-0.9987623691558838,0.9377450980392158,1.352756062483081e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
6,Photo,-0.9046372175216675,-0.9989055395126343,0.9372004357298476,4.010803062449836e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
7,Photo,-0.8970007300376892,-0.9992077946662903,0.9376906318082788,8.959042343637948e-07,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
8,Photo,-0.8963571786880493,-0.9980351328849792,0.9377995642701524,2.8894394843388614e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
9,Photo,-0.8932809829711914,-0.9988224506378174,0.9369825708061003,3.708212890578621e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
10,Photo,-0.8955971598625183,-0.9992299675941467,0.9380718954248367,2.260526578096727e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
11,Photo,-0.8934162259101868,-0.9991118907928467,0.9374183006535949,3.3640907343329248e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
12,Photo,-0.8962238430976868,-0.9990358948707581,0.9376906318082788,2.9606371718379713e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
13,Photo,-0.9003616571426392,-0.9990485310554504,0.937091503267974,3.008102296837377e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
14,Photo,-0.8971576690673828,-0.9983440637588501,0.9357298474945533,2.8538406405893064e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
15,Photo,-0.8965422511100769,-0.9988918304443359,0.9366013071895424,3.488686687456367e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
16,Photo,-0.8990917801856995,-0.9984858632087708,0.9375272331154685,1.180694984360233e-06,700,1024,1,homo,cos,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
