trial,dataset,best_online_loss,best_target_loss,clf_mean,clf_var,num_epochs,hidden_dim,use_gb,gb_quity,gb_sim,gb_alpha,gb_beta,gb_K,gb_w_mode,gb_knn,gb_rebuild_every,ball_loss_weight,ball_angle_thresh,ball_uniform_tau,ball_infonce_weight,ball_infonce_temp,seed
1,Physics,-0.8918098211288452,-0.9988158941268921,0.9621187413178717,8.757752848313564e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
2,Physics,-0.8909077644348145,-0.9985879063606262,0.9624690463248173,6.919237588587441e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
3,Physics,-0.8912773132324219,-0.9988412261009216,0.9625536027058041,7.882269391300782e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
4,Physics,-0.88736492395401,-0.999015212059021,0.9618892311409072,3.207187730855321e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
5,Physics,-0.8913004398345947,-0.9988871216773987,0.9614181313039802,3.5748907828003004e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
6,Physics,-0.8889122009277344,-0.9990994334220886,0.9623844899438304,3.186759783524993e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
7,Physics,-0.8900952935218811,-0.9987398982048035,0.9625656821888023,3.8871465491345323e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
8,Physics,-0.8913496732711792,-0.9984957575798035,0.9617925952769223,1.263614456287724e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
9,Physics,-0.8935980200767517,-0.9985209703445435,0.9621912182158604,5.273328689404307e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
10,Physics,-0.8952386975288391,-0.9986978769302368,0.9630247025427311,6.218850822977116e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
11,Physics,-0.8899873495101929,-0.9990542531013489,0.961671800446941,4.319051721261903e-08,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
12,Physics,-0.8923975825309753,-0.9987440705299377,0.9626743975357854,7.52040289573587e-07,700,1024,1,detach,dot,0.3,0.2,10,topo+center,10,50,0.05,15.0,0.1,0.02,0.2,66666
